### Module positions - created on 2022-05-07 06:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 85.664mm, Pcb Width 173.505mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 203.962mm ,119.380mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
JP6           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -76.5981   67.0600    -76.5981   -171.7000    90.0    top       THD
JP5           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -90.5681   67.0600    -90.5681   -171.7000    90.0    top       THD
D4            LED_Small           LED_D3.0mm_Clear              -119.8775  41.9408    -119.8775  -196.8192   -90.0    top       THD
Q1            BT136-600           TO-220-3_Vertical             -164.8831  61.8504    -164.8831  -176.9096     0.0    top       THD
J4_AC_OUTPUT1 Screw_Terminal_01.. TerminalBlock_MetzConnect_T.. -8.5648    19.7225    -8.5648    -219.0375    90.0    top       THD
U11           MOC3083M            DIP-6_W7.62mm_Socket_LongPads -25.1931   31.1402    -25.1931   -207.6198    90.0    top       THD
RV2           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -142.0631  70.1840    -142.0631  -168.5760   180.0    top       THD
JP3           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -135.0181  67.0600    -135.0181  -171.7000    90.0    top       THD
RV1           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -160.4781  70.1840    -160.4781  -168.5760   180.0    top       THD
Q3            BT136-600           TO-220-3_Vertical             -133.1331  61.8504    -133.1331  -176.9096     0.0    top       THD
Q8            BT136-600           TO-220-3_Vertical             -58.8381   61.8504    -58.8381   -176.9096     0.0    top       THD
JP7           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -58.1831   67.0600    -58.1831   -171.7000    90.0    top       THD
JP2           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -148.0824  67.0932    -148.0824  -171.6668    90.0    top       THD
Q10           BT136-600           TO-220-3_Vertical             -27.7231   61.8504    -27.7231   -176.9096     0.0    top       THD
U10           MOC3083M            DIP-6_W7.62mm_Socket_LongPads -40.4331   31.1402    -40.4331   -207.6198    90.0    top       THD
D8            LED_Small           LED_D3.0mm_Clear              -60.2762   41.9031    -60.2762   -196.8569   -90.0    top       THD
F1            Fuse                Fuseholder_Littelfuse_100_s.. -16.3976   3.7514     -16.3976   -235.0086    90.0    top       THD
RV9           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -38.5581   70.1840    -38.5581   -168.5760   180.0    top       THD
D7            LED_Small           LED_D3.0mm_Clear              -75.3357   41.9302    -75.3357   -196.8298   -90.0    top       THD
JP8           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -45.4831   67.0600    -45.4831   -171.7000    90.0    top       THD
RV7           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -69.6731   70.1840    -69.6731   -168.5760   180.0    top       THD
Q5            BT136-600           TO-220-3_Vertical             -103.2881  61.8504    -103.2881  -176.9096     0.0    top       THD
RV4           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -113.4881  70.1840    -113.4881  -168.5760   180.0    top       THD
RV10          Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -23.3181   70.1840    -23.3181   -168.5760   180.0    top       THD
D1            LED_Small           LED_D3.0mm_Clear              -166.3357  41.3149    -166.3357  -197.4451   -90.0    top       THD
U9            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -56.2758   31.1402    -56.2758   -207.6198    90.0    top       THD
JP10          Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -30.8781   67.0600    -30.8781   -171.7000    90.0    top       THD
D10           LED_Small           LED_D3.0mm_Clear              -29.0680   41.9375    -29.0680   -196.8225   -90.0    top       THD
RV8           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -51.8931   70.1840    -51.8931   -168.5760   180.0    top       THD
U7            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -86.1097   31.1281    -86.1097   -207.6319    90.0    top       THD
Q4            BT136-600           TO-220-3_Vertical             -118.5281  61.8504    -118.5281  -176.9096     0.0    top       THD
D6            LED_Small           LED_D3.0mm_Clear              -90.1471   41.9332    -90.1471   -196.8268   -90.0    top       THD
PS1           HLK-PM03            Converter_ACDC_HiLink_HLK-P.. -27.6386   10.2275    -27.6386   -228.5325   180.0    top       THD
U5            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -115.9981  31.1402    -115.9981  -207.6198    90.0    top       THD
RV3           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -128.0931  70.1840    -128.0931  -168.5760   180.0    top       THD
U6            MOC3083M            DIP-6_W7.62mm_Socket_LongPads -100.7481  31.1302    -100.7481  -207.6298    90.0    top       THD
D9            LED_Small           LED_D3.0mm_Clear              -44.3634   41.9375    -44.3634   -196.8225   -90.0    top       THD
Q6            BT136-600           TO-220-3_Vertical             -88.6831   61.8504    -88.6831   -176.9096     0.0    top       THD
JP4           Jumper_2_Open       PinSocket_1x02_P2.54mm_Vert.. -105.1731  67.0600    -105.1731  -171.7000    90.0    top       THD
RV5           Varistor            RV_Disc_D9mm_W3.3mm_P5mm      -98.2481   70.1840    -98.2481   -168.5760   180.0    top       THD
## End
## 109 SMD pads
## 306 TH pads
## 0 Virtual pads
## 118 Top TH modules
## 0 Bot TH modules
## 35 Top SMD modules
## 0 Bot SMD modules
## 0 Top Virtual modules
## 0 Bot Virtual modules
